name, orcid
Kevin Lacjak,
Florian G. Frick,0009-0005-3173-7683
Moutamen Gabir,
Reema A. Alsinan,
Thomas Jacobsen,
Mohammad Alrubaie,
Kayla M. Chizmar,
Benjamin P. Lau,0009-0004-1717-344X
Lizbeth Montoya Dominguez,
David Price ,
Dylan R. Butler,
Connor J. Biron,
Nikita Feoktistov,
Kai Dewey,0009-0001-6810-6376
N. E. Loomis,
Michal Bodzianowski,0009-0003-9909-9206
Connor Kuybus,
Henry Dietrick ,
Aubrey M. Wolfe,
Matt Guerrero,0000-0003-3879-0151
Jessica Vinson,
Peter Starbuck,
Shelby D Litton,
M. G. Beck,
Jean-Paul Fisch,0000-0001-6912-0906
Ayana West,
Alexis A. Muniz,
Luis Chavez,
Zachary T. Upthegrove,0000-0001-6904-1407
Brenton M. Runyon,
J. Salazar,
Jake E. Kritzberg,0000-0002-3962-0237
Tyler Murrel,
Ella Ho,0000-0002-9918-0923
Quintin Y. LaFemina,
Sara I. Elbashir ,
Ethan C. Chang,
Zachary A. Hudson,0000-0002-8405-0800
Rosemary O. Nussbaum,
Kellen Kennedy,
Kevin Kim,
Camila Villamil Arango,
Mohammed A. Albakr ,
Michael Rotter,
A. J. Garscadden ,
Antonio Salcido-Alcántar JR,
Harrison M. Pearl,0000-0002-4317-9050
Tyler Stepaniak,0000-0003-2761-9877
Josie A. Marquez,
Lauren Marsh,
Jesse C Andringa ,
Austin Osogwin,
Amanda M. Shields,
Sarah Brookins ,
Grace K. Hach,
Alexis R. Clausi,
Emily B. Millican,
Alan A Jaimes,
Alaina S. Graham,
John J. Burritt,
J. S. Perez ,
Nathaniel Ramirez,0000-0001-8539-8588
Rohan Suri,
Michael S. Myer,
Zoe M. Kresek,0000-0002-4501-409X
C. A. Goldsberry,
Genevieve K. Payne,
Tara Jourabchi,
J. Hu,
Jeffrey Lucca,
Zitian Feng,
Connor B. Gilpatrick,
Ibraheem A. Khan,
Keenan Warble,
Joshua D. Sweeney,
Philip Dorricott,0000-0002-0133-5959
Ethan Meyer,0000-0002-1980-029X
Yash S. Kothamdi,0000-0002-5101-626X
Arman S. Sohail,
Kristyn Grell,
Aidan Floyd,
Titus Bard,
Randi M. Mathieson,
Joseph Reed,0000-0001-7058-680X
Alexis Cisneros ,
Matthew P. Payne,
J. R. Jarriel,
Jacqueline Rodriguez Mora,
M. E. Sundell ,
Kajal Patel,
Mohammad Alesmail,
Yousef A Alnasrallah,
Jumana T. Abdullah,
Luis Molina-Saenz,
K. E. Tayman,
Gabriel T. Brown,
Liana Kerr-Layton,0000-0003-2736-4042
Zachary D. Berriman-Rozen,
Quinn Hiatt,
Etash Kalra,0000-0003-1715-5626
Jason Ong,
Shreenija Vadayar,
Callie D. Shannahan,
Evan Benke,0000-0002-6822-5324
Jinhua zhang,
Jane Geisman,
Cara Martyr,0000-0002-9600-0245
Federico Ameijenda,
Ushmi H. Akruwala, 0000-0001-5217-5679
Molly Nehring,
Natalie Kissner,
Ian C. Rule,
Tyler Learned,
Alexandra N. Smith,
Liam Mazzotta,
Tyndall Rounsefell,0000-0002-2242-2357
Elizabeth A. Eyeson,
Arlee K. Shelby,0000-0002-2203-7811
Tyler S Moll,0000-0003-1380-6815
Riley Menke,
Hannan Shahba,
Tony A. House Jr.,
David B. Clark,
Annemarie C. Burns,
Tristan de La Beaujardiere,0000-0001-9614-5156
Emily D. Trautwein,
Will Plantz,
Justin Reeves,
Ian Faber,
B. W. Buxton,
Nigel Highhouse,0000-0002-7615-0887
Kalin Landrey,
Connor M Hansen,
Kevin Chen,0000-0002-8835-7279
Ryder Buchanan Hales,
Luke R. Borgerding,
Mutian Guo,
Christian J. Crow,
Lloyd C. Whittall,0000-0002-1632-3301
Conor Simmons,
Adeduni Folarin,0000-0002-7942-6703
Evan J. Parkinson,0000-0001-9829-8391
Anna L. Rahn,0000-0002-1360-9507
Olivia Blevins,0000-0002-8095-9080
Annalise M. Morelock,
Nicholas Kelly,
Nathan L. Parker,
Kelly Smith,
Audrey E. Plzak,
David Saeb,0000-0003-3332-7491
Cameron T. Hares ,0000-0003-4735-2292
Sasha R. Parker,
Andrew McCoy,0000-0002-1257-5579
Alexander V. Pham,
Megan Lauzon,
Cayla J. Kennedy,
Andrea B. Reyna,
Daniela M. Meza Acosta ,
Destiny J. Cool,
Sheen L. Steinbarth,
Patricia Mendoza-Anselmi,
Kaitlyn E. Plutt,
Isabel M Kipp,
M. Rakhmonova,
Cameron L. Brown,
Gabreece Van Anne,
Alexander P. Moss,
Olivia Golden,
Hunter B. Kirkpatrick,
Jake R. Colleran,
Brandon J Sullivan,
Kevin Tran,0000-0002-2579-8907
Michael Andrew Carpender,
Aria T. Mundy,0000-0003-0565-8453
Greta Koenig,
Jessica Oudakker,0000-0002-5799-4128
Rasce Engelhardt,
Nolan Ales,
Ethan Benjamin Wexler,0000-0003-4746-5473
Quinn I Beato,0000-0002-6745-1565
Lily Chen,
Brooke Cochran,
Paula Hill,
Sean R. Hamilton,0000-0002-3515-411X
Kyle Hashiro,
Usman Khan ,
Alexa M. Martinez,
Jennifer L. Brockman,
Macguire Mallory,
Charlie Reed,
Richard Terrile,
Savi Singh,
James Adam Watson,
Joshua B. Creany,0000-0002-4309-9894
Nicholas K. Price,
Aya M. Miften,0000-0002-9679-3724
Bryn Tran,
Margaret Kamenetskiy ,
Jose R. Martinez ,
Elena N. Opp,
Jianyang Huang,
Avery M. Fails,
Brennan J. Belei,
Ryan Slocum,
Justin Astalos,0000-0002-9217-6972
Andrew East,
Lena P. Nguyen,
Callie C Pherigo,
Andrew N. East,
David Y. Li,0000-0002-4450-8776
Maya LI Nelson,0000-0002-0411-1379
Nicole Taylor,
Anand Odbayar,
Anna Linnea Rives,0000-0002-8492-6008
Kabir P. Mathur,
Jacob Billingsley ,
Hyden Polikoff,
Michael Driscoll,
Orion K. Wilson,
Kyle Lahmers,0000-0001-5054-0054
Nathaniel J. Toon,0000-0002-7951-0016
Sam Lippincott,0000-0002-7596-1522
Andrew J. Musgrave,
Alannah H. Gregory,
Sedique Pitsuean-Meier,0000-0002-2186-3935
Trevor Jesse,
Corey Smith,
Ethan J. Miles,
Sabrina J. H. T. Kainz,
Soo Yeun Ji,
Lena Nguyen,
Maryam Aryan,
Alexis M. Dinser,
Jadon Shortman,
Catalina S Bastias,0000-0003-4089-1736
Thomas D Umbricht,
Breonna Cage,
Parker Randolph,
Matthew Pollard,0000-0002-5167-7201
Dylan M. Simone,0000-0003-1054-1110
Andrew Aramians,0000-0003-2785-8202
Ariana E. Brecl,
Amanda M. Robert,
Thomas Zenner,
Maxwell Saldi,
Gavin Morales,
Citlali Mendez,
Konner Syed,
Connor Maklain Vogel,
Rebecca A. Cone,0000-0002-5428-5983
Naomi Berhanu,0000-0002-5370-9684
Emily Carpenter,
Cecilia Leoni,
Samuel Bryan ,0000-0001-9973-4837
Nidhi Ramachandra,
Timothy Shaw,
E. C. Lee,
Eli Monyek,
Aidan B. Wegner,
Shajesh Sharma,0000-0001-9829-8631
Barrett Lister,
Jamison R. White,
John S. Willard,
S. A Sulaiman  ,0000-0003-3195-6200
Guillermo Blandon,0000-0001-8692-8544
Anoothi Narayan,0000-0002-9364-5320
Ryan Ruger,
Morgan A. Kelley,
Angel J. Moreno,
Leo M Balcer,
N. R. D. Ward-Chene,
Emma Shelby,0000-0002-9104-2999
Brian D. Reagan,
Toni Marsh,
Sucheta Sarkar,
Michael P. Kelley,0000-0002-5571-1075
Kevin Fell,
Sahana Balaji ,
Annalise K. Hildebrand,
Dominick Shoha,0000-0002-5966-9142
Kshmya Nandu,
Julia Tucker,
Alejandro R. Cancio,
Jiawei Wang,
Sarah Grace Rapaport,
Aimee S. Maravi,
Victoria A. Mayer,
Andrew Miller,
Caden Bence,
Emily Koke,
John T Fauntleroy,0000-0003-2573-8610
Timothy Doermer,
Adel Al-Ghazwi,0000-0002-5302-2073
Remy Morgan,
Mohammed S. Alahmed,0000-0003-1389-2207
Adam Izz Khan Mohd Reduan Mathavan,
H. K. Silvester,0000-0001-7411-0649
Amanda M. Weiner,0000-0002-4607-8570
Nianzi Liu,
Taro Iovan,
Alexander V. Jensen,
Yazeed A. AlHarbi,
Yufan Jiang,
Jiaqi Zhang,0000-0002-2331-9925
Olivia M. Jones,
Chenqi Huang,
Eileen N. Reh,
Dania Alhamli,0000-0001-5373-6204
Joshua Pettine,
Chongrui Zhou,0000-0003-3612-3144
Dylan Kriegman,0000-0001-6307-278X
Jianing Yang,
Kevin Ash,
Carl Savage,
Emily Kaiser,
Dakota N. Augenstein,
Jacqueline Padilla,
Ethan K. Stark,
Joshua A. Hansen,
Thomas Kokes,
Leslie Huynh ,
Gustavo Sanchez-Sanchez,
Luke A. Jeseritz,
Emma L. Carillion,
Aditya V. Vepa,0000-0003-1564-213X
Sapriya Khanal,
Braden Behr,
Logan S. Martin ,
Jesse J. McMullan,
Tianwei Zhao,0000-0003-1331-6760
Abigail K. Williams,0000-0002-0034-639X
Emeen Alqabani,
Gale H. Prinster,0000-0002-7018-8657
Linda Horne,
Kendall Ruggles-Delgado,
Grant Otto,
Angel R. Gomez ,
Leonardo Nguyen,0000-0003-0347-2786
Preston J. Brumley,0000-0003-2864-2833
Nancy Ortiz Venegas,
Ilian Varela ,
Jordi Brownlow,
Avril Cruz,
Linzhi Leiker,
Jasleen Batra,
Abigail P. Hutabarat,
Dario Nunes-Valdes,0000-0002-1206-8147
Connor Jameson,
Abdulaziz Naqi,
Dante Q. Adams,
Blaine B. Biediger,
William T Borelli,
Nicholas A. Cisne,0000-0003-3717-041X
Nathaniel A. Collins,
Tyler L. Curnow,
Sean Gopalakrishnan,
Nicholas F. Griffin,0000-0002-6622-2410 
Emanuel Herrera ,
Meaghan V. McGarvey,
Sarah Mellett,
Igor Overchuk,
Nathan Shaver,
Cooper N. Stratmeyer,
Marcus T. Vess,
Parker Juels,
Saleh A. Alyami,
Skylar Gale,0000-0003-4503-6237
Steven P. Wallace,
Samuel C Hunter,
Mia C. Lonergan,0000-0002-5760-7044
Trey Stewart,
Tiffany E. Maksimuk,
Antonia Lam,
Judah Tressler ,
Elena R. Napoletano,
Joshua B. Miller,
Marc G. Roy,0000-0002-4112-3360
Jasey Chanders,
Emmalee Fischer,
A. J. Croteau,0000-0002-9116-7986
Nicolas A. Kuiper,
Alex Hoffman,0000-0002-5454-093X
Elyse DeBarros,0000-0002-1839-6440
Riley T. Curry,
A. Brzostowicz,
Jonas Courtney,
Tiannie Zhao,
Emi Szabo,
Bandar Abu Ghaith,
Colin Slyne,
Lily Beck,
Oliver Quinonez,0000-0003-4871-5905
Sarah Collins,
Claire A. Madonna,
Cora Morency,
Mallory Palizzi,
Tim Herwig,0000-0001-7993-5084
Jacob N. Beauprez,0000-0002-9657-5583
Dorsa Ghiassi ,
Caroline R. Doran,
Zhanchao Yang,
Hannah M. Padgette,0000-0002-8270-1673
Cyrus A. Dicken,
Bryce W. Austin,
Ethan J. Phalen,0000-0003-2227-1453
Catherine Xiao,0000-0002-0435-7141
Adler Palos,
Phillip Gerhardstein,
Ava L. Altenbern,
Dan Orbidan,0000-0002-9194-6306
Jackson A. Dorr,
Guillermo A. Rivas,
Calvin A Ewing,0000-0003-4090-2896
B. C. Giebner ,
Kelleen McEntee,
Emily R. Kite,
K. A. Crocker,
Mark S. Haley,
Adrienne R. Lezak,
Ella McQuaid,
Jacob Jeong,0000-0002-9864-8408
Jonathan Albaum,
E. M. Hrudka ,
Owen T. Mulcahy ,
Nolan C. Tanguma,
Sean Oishi-Holder,
Zachary White,
Ryan W. Coe,
Christine Boyer,
Mitchell G. Chapman,
Elise Fortino,
Jose A. Salgado,0000-0001-9711-6066
Tim Hellweg,
Hazelia K. Martinez,
Alexander J. Mitchell ,
Stephanie H. Schubert,0000-0001-6262-2452
Grace K Schumacher,0000-0002-1323-2236
Corey D Tesdahl,
C. H. Uphoff,
Alexandr Vassilyev,
Briahn Witkoff,
Jackson R. Wolle,
Kenzie A. Dice,
Timothy A. Behrer,
Troy Bowen,
